ID,Date,Description,Amount
1,12/5/1,Automatuttag shb  ,-1900.00
2,12/5/1,WIDEGREN TV&RADI  ,-995.00
3,12/5/1,DELI ITALIA SEGE    ,-29.00
4,12/5/1,DELI ITALIA SEGE  ,-99.00
5,12/5/1,DELI ITALIA SEGE  ,-327.00
6,12/5/2,Automatuttag shb  ,-1900.00
7,12/5/2,WIDEGREN TV&RADI  ,-995.00
8,12/5/2,DELI ITALIA SEGE    ,-29.00
9,12/5/2,DELI ITALIA SEGE  ,-99.00
10,12/5/2,DELI ITALIA SEGE  ,-327.00
11,12/5/11,Automatuttag shb  ,-1900.00
12,12/5/12,WIDEGREN TV&RADI  ,-995.00
13,12/5/13,DELI ITALIA SEGE    ,-29.00
14,12/5/14,DELI ITALIA SEGE  ,-99.00
15,12/5/15,DELI ITALIA SEGE  ,-327.00
16,12/5/16,J ,-1900.00
17,12/5/25,I  ,-995.00
18,12/5/25,H   ,-29.00
19,12/5/25,G  ,-99.00
20,12/5/25,F  ,-327.00
21,12/5/25,E  ,-1900.00
22,12/5/25,D ,-995.00
23,12/5/25,C    ,-29.00
24,12/5/25,B  ,-99.00
25,12/5/25,A  ,-327.00
