ID,Date,Description,Amount
1,15/7/21,Test39,416.00
2,15/10/8,Test80,905.00
3,15/9/7,Test24,765.00
4,15/4/11,Test97,583.00
5,15/6/8,Test47,-57.00
6,15/12/21,Test90,723.00
7,15/4/17,Test27,-785.00
8,15/2/8,Test48,-614.00
9,15/10/16,Test87,668.99
10,15/10/17,Test54,909.00
11,15/7/4,Test47,-326.00
12,15/5/21,Test100,301.00
13,15/5/27,Test89,42.00
14,15/1/27,Test31,-37.00
15,15/3/11,Test18,473.00
16,15/11/21,Test98,-593.00
17,15/1/31,Test17,-775.99
18,15/3/18,Test44,238.00
19,15/5/18,Test59,-360.99
20,15/9/28,Test77,-84.00
21,15/8/28,Test36,-937.00
22,15/6/29,Test27,789.99
23,15/5/18,Test70,-16.00
24,15/11/19,Test54,-542.00
25,15/6/20,Test92,260.00
26,15/5/25,Test42,395.99
27,15/9/22,Test9,-472.00
28,15/5/6,Test76,-836.00
29,15/1/30,Test13,830.99
30,15/7/11,Test43,-552.99
31,15/6/16,Test98,-23.00
32,15/2/12,Test47,838.00
33,15/3/10,Test20,364.00
34,15/2/19,Test6,-317.00
35,15/8/28,Test33,-534.00
36,15/5/23,Test38,883.00
37,15/7/31,Test50,-264.00
38,15/5/4,Test91,-297.99
39,15/7/20,Test1,-212.00
40,15/9/14,Test56,-244.00
41,15/9/27,Test86,-6.00
42,15/3/13,Test30,699.99
43,15/1/14,Test56,746.00
44,15/11/3,Test12,-559.99
45,15/1/9,Test86,283.00
46,15/6/6,Test6,685.00
47,15/5/12,Test79,804.00
48,15/5/24,Test30,-790.00
49,15/9/4,Test31,186.99
50,15/6/13,Test4,263.99
51,15/12/17,Test81,-42.00
52,15/7/5,Test39,887.00
53,15/9/31,Test47,645.00
54,15/10/3,Test5,56.00
55,15/5/15,Test70,19.00
56,15/6/21,Test81,796.00
57,15/1/23,Test60,-172.00
58,15/3/11,Test66,-180.00
59,15/6/25,Test88,-844.00
60,15/12/13,Test19,-943.99
61,15/2/26,Test61,939.00
62,15/12/4,Test11,-435.00
63,15/11/23,Test57,565.00
64,15/1/29,Test24,997.99
65,15/5/16,Test33,-130.00
66,15/12/13,Test20,166.00
67,15/7/4,Test93,-203.00
68,15/5/17,Test19,-140.00
69,15/4/23,Test13,72.00
70,15/9/30,Test73,272.99
71,15/5/18,Test12,904.00
72,15/7/6,Test43,479.00
73,15/7/25,Test89,32.00
74,15/5/31,Test77,-981.99
75,15/5/30,Test12,-526.99
76,15/1/17,Test87,874.99
77,15/3/16,Test32,-816.00
78,15/4/9,Test45,-659.00
79,15/2/18,Test48,905.00
80,15/11/5,Test2,-538.00
81,15/3/12,Test16,-879.00
82,15/8/22,Test47,-817.99
83,15/10/12,Test52,-391.00
84,15/4/19,Test67,-317.99
85,15/5/22,Test22,590.99
86,15/7/23,Test14,685.00
87,15/12/11,Test50,264.00
88,15/9/22,Test53,730.00
89,15/2/22,Test53,299.00
90,15/5/26,Test43,-756.99
91,15/2/4,Test93,110.00
92,15/11/20,Test64,559.00
93,15/11/14,Test26,903.00
94,15/2/16,Test13,209.00
95,15/2/26,Test53,-216.00
96,15/3/27,Test39,16.00
97,15/1/21,Test25,657.99
98,15/9/31,Test34,794.00
99,15/4/11,Test23,995.00
100,15/3/5,Test50,486.99
101,15/3/26,Test51,-776.99
102,15/1/11,Test8,-157.00
103,15/12/20,Test33,-224.00
104,15/7/3,Test5,679.99
105,15/11/21,Test100,162.00
106,15/9/2,Test29,75.00
107,15/12/27,Test99,-617.00
108,15/10/5,Test51,-942.00
109,15/11/18,Test29,306.00
110,15/2/26,Test41,248.99
111,15/8/23,Test3,-277.00
112,15/12/27,Test10,642.99
113,15/4/26,Test84,-816.00
114,15/11/25,Test38,-289.00
115,15/7/17,Test11,-917.99
116,15/12/16,Test21,-149.00
117,15/6/30,Test58,-517.00
118,15/3/26,Test21,237.99
119,15/5/25,Test50,689.00
120,15/3/28,Test98,68.00
121,15/12/5,Test86,84.00
122,15/1/15,Test36,-888.99
123,15/9/20,Test99,-478.99
124,15/12/17,Test65,955.00
125,15/9/9,Test13,-547.00
