ID,Date,Description,Amount
1,15/1/1,Test67,-999.00
2,15/1/1,Test67,-998.00
3,15/1/1,Test67,-997.00
4,15/1/1,Test67,-996.00
5,15/1/1,Test67,-995.00
6,15/1/1,Test67,-994.00
7,15/1/1,Test67,-993.00
8,15/1/1,Test67,-992.00
9,15/1/1,Test67,-991.00
10,15/1/1,Test67,-990.00
11,15/1/1,Test67,-989.00
12,15/1/1,Test67,-988.00
13,15/1/1,Test67,-987.00
14,15/1/1,Test67,-986.00
15,15/1/1,Test67,-985.00
16,15/1/1,Test67,-984.00
17,15/1/1,Test67,-983.00
18,15/1/1,Test67,-982.00
19,15/1/1,Test67,-981.00
20,15/1/1,Test67,-980.00
21,15/1/1,Test67,-979.00
22,15/1/1,Test67,-978.00
23,15/1/1,Test67,-977.00
24,15/1/1,Test67,-976.00
25,15/1/1,Test67,-975.00
26,15/1/1,Test67,-974.00
27,15/1/1,Test67,-973.00
28,15/1/1,Test67,-972.00
29,15/1/1,Test67,-971.00
30,15/1/1,Test67,-970.00
